project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2011183,2071733,reconyx HC500,RECONYX,HC500 HYPERFIRE,None,
2011183,2099588,Reconyx HC500 Hyperfire,,,,
2011183,2099591,Browning Recon Force Elite,,,,
2011183,2181045,MM251,,,,
2011183,2181096,Browning Defender Pro Scout Max Extreme HD,,,,
2011183,2181097,Browning Recon Force HP5,,,,
2011183,2181108,Reconyx Hyperfire HC500,,,,
2011183,2181110,Reconyx Hyperfire 4K Ultra HD,,,,
2011183,2181387,Reconyx Hyperfire PC800,,,,
2011183,2181388,Browning Recon Force HP5 ,,,,
2011183,2181392,Reconyx PC900,,,,
2011183,2181393,Browning Strike Force Pro,,,,
2011183,2188084,Reconyx Hyperfire PC500,,,,
